"Id" "type" "z" "Ran_DES_g" "Err_DES_g" "Ran_DES_r" "Err_DES_r" "Ran_DES_i" "Err_DES_i" "Ran_DES_z" "Err_DES_z" "Ran_DES_y" "Err_DES_y"
256183 1 0.306 21.9924 0.00997714 20.46 0.00394774 19.9133 0.00412799 19.6591 0.0065057 19.4582 0.0232615
256909 1 0.2102 21.3806 0.00609191 20.0449 0.00278799 19.5791 0.00311415 19.3213 0.00483795 19.1405 0.0173423
259321 1 0.3216 21.5432 0.00689966 20.5657 0.00426972 20.2224 0.00530777 20.0463 0.00888285 19.9531 0.0332743
259602 1 0.3676 22.3846 0.0137928 21.5913 0.0099015 21.424 0.0143244 21.148 0.0225422 21.0397 0.0949258
259720 1 0.3756 22.999 0.0225234 21.8116 0.0119705 21.4315 0.0144921 21.259 0.0240483 21.0255 0.0910586
259730 1 0.6414 23.5132 0.0371792 22.3918 0.01936 21.5877 0.0166946 21.2446 0.0245702 21.1648 0.0884416
260689 1 0.828 23.0447 0.0246281 22.285 0.0174852 21.3084 0.0133484 20.9063 0.0188612 20.8148 0.0671241
260733 1 0.5075 22.4651 0.0145303 21.4133 0.00869233 21.1377 0.0113323 20.9051 0.0185373 20.7619 0.0637926
260804 1 0.3619 22.9043 0.0209465 21.6534 0.0106282 21.2791 0.0127325 20.8718 0.0177936 20.8802 0.0709559
260936 1 0.3732 22.8693 0.0211334 21.2649 0.00771371 20.6885 0.00778589 20.4291 0.0122602 20.3306 0.0450049
260937 1 0.1157 21.1615 0.00505194 20.6838 0.00470366 20.4651 0.00649161 20.3413 0.0114707 20.307 0.0433699
261306 1 0.5491 22.4499 0.0149619 21.5908 0.00999176 21.2945 0.0131064 21.1811 0.0231258 21.05 0.0796046
261369 1 0.9421 23.379 0.0329898 22.4049 0.0201612 21.3667 0.0138056 20.7868 0.0163565 20.5683 0.0569017
261549 1 0.4499 22.9231 0.0221873 21.7819 0.0117616 21.4918 0.0147958 21.146 0.0223821 20.9338 0.0805434
261552 1 0.3097 22.4511 0.0148753 21.6243 0.0102215 21.3164 0.0131563 21.1575 0.0222133 21.0824 0.0837013
261901 1 0.6418 23.2308 0.0286064 21.5581 0.00970726 20.5269 0.00681217 20.1111 0.00925702 19.9037 0.0323058
261923 1 0.8327 22.5274 0.0155623 21.9372 0.0132608 21.135 0.0112997 20.9132 0.0180318 20.832 0.0683329
262000 1 0.3779 21.7483 0.0081714 20.5045 0.0040622 20.0806 0.00471996 19.8683 0.00770915 19.7771 0.0289534
262080 1 0.3194 22.5114 0.0155826 21.6548 0.0108183 21.4549 0.0146775 21.2549 0.0241366 21.3663 0.0955889
262192 1 0.66 22.6508 0.0174982 21.6653 0.0107256 21.0762 0.0108927 20.884 0.0180005 20.794 0.065831
262281 1 0.5508 23.8181 0.0483365 22.4059 0.019518 21.6185 0.0173574 21.2902 0.0248865 21.2335 0.0911651
262320 1 0.3694 23.2253 0.0276815 21.7415 0.0115308 21.3051 0.0126889 21.0444 0.0208325 20.9865 0.0780438
262509 1 0.2999 21.1686 0.00508808 20.4487 0.0039092 20.1595 0.00504109 19.9597 0.00830581 19.9781 0.0344691
262512 1 0.3008 20.7251 0.00352974 19.6833 0.0020682 19.1431 0.00217578 18.8012 0.0031809 18.8233 0.0131414
262523 1 0.3781 22.8491 0.0202981 21.207 0.00734299 20.618 0.00740197 20.3757 0.0116196 20.1877 0.0426777
262524 1 0.2997 21.883 0.00919438 20.4541 0.00389493 19.9428 0.00419841 19.7025 0.00672271 19.5168 0.0242477
262733 1 0.3652 21.566 0.00707762 20.8283 0.00535299 20.6908 0.00783137 20.3784 0.0116168 20.5385 0.0513466
262756 1 0.3551 22.1881 0.0118827 20.5592 0.00425882 19.9468 0.0042204 19.7033 0.0066229 19.5644 0.0240714
